"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","64972","6.27","7953","9.59","1690","3.6%","46.6%","259","","402","","661","40.4%","1029","50.6%","-10.2pp"
"Archangel of Tithes","W","M","9905","2.08","3697","2.15","18171","82.7%","53.9%","2952","54.6%","4325","55.8%","7277","55.3%","10927","52.9%","2.4pp"
"Armored Armadillo","W","C","378941","7.89","40803","11.61","31423","12.9%","51.0%","5421","50.0%","7265","50.8%","12686","50.4%","18704","51.3%","-0.9pp"
"Aven Interrupter","W","R","24080","2.42","8609","2.64","44852","86.6%","55.5%","7735","56.6%","10692","57.5%","18427","57.1%","26391","54.3%","2.8pp"
"Bounding Felidar","W","U","98493","4.11","18079","5.53","86683","80.2%","54.6%","13034","53.6%","20093","55.4%","33127","54.7%","52462","54.4%","0.3pp"
"Bovine Intervention","W","U","136473","6.33","12508","9.99","18372","24.9%","50.7%","2815","46.7%","4488","51.0%","7303","49.4%","11046","51.6%","-2.3pp"
"Bridled Bighorn","W","C","331675","5.83","45982","8.50","179586","64.6%","54.9%","29350","53.4%","41113","54.2%","70463","53.8%","106849","55.4%","-1.5pp"
"Claim Jumper","W","R","27374","2.68","7264","3.14","37100","85.7%","54.1%","6654","53.7%","8627","54.8%","15281","54.3%","21825","54.0%","0.3pp"
"Dust Animus","W","R","13874","1.48","10422","1.47","61258","95.1%","56.7%","10868","60.2%","15325","61.5%","26193","61.0%","35091","53.6%","7.3pp"
"Eriette's Lullaby","W","C","328024","5.70","40155","8.60","128460","53.6%","53.1%","21713","50.7%","31308","54.5%","53021","52.9%","75256","53.2%","-0.3pp"
"Final Showdown","W","M","7883","1.73","4754","1.70","25195","86.6%","56.3%","4115","57.7%","6351","62.0%","10466","60.3%","14685","53.5%","6.8pp"
"Fortune, Loyal Steed","W","R","19736","2.03","9194","2.12","50984","91.8%","55.8%","9058","58.0%","12137","57.2%","21195","57.5%","29077","54.3%","3.2pp"
"Frontier Seeker","W","U","90392","3.75","23474","4.61","123372","85.8%","56.8%","22249","58.6%","28002","56.5%","50251","57.4%","73064","56.3%","1.0pp"
"Getaway Glamer","W","U","97479","4.05","25220","4.92","130368","84.3%","56.6%","21538","56.4%","32006","59.7%","53544","58.4%","76650","55.3%","3.1pp"
"High Noon","W","R","58999","5.77","6611","9.04","3171","8.1%","49.0%","503","46.1%","729","49.5%","1232","48.1%","1936","49.5%","-1.4pp"
"Holy Cow","W","C","289990","4.75","49011","6.66","249507","83.8%","55.7%","43607","55.8%","58873","57.3%","102480","56.7%","146944","55.0%","1.7pp"
"Inventive Wingsmith","W","C","375189","7.58","42227","11.13","45954","18.2%","51.7%","7758","49.9%","11016","51.2%","18774","50.7%","27178","52.4%","-1.7pp"
"Lassoed by the Law","W","U","58974","2.54","26566","2.80","152891","93.2%","57.2%","25793","58.6%","37625","62.2%","63418","60.7%","89298","54.7%","6.0pp"
"Mystical Tether","W","C","212079","3.49","57457","4.38","319723","91.8%","55.6%","54337","55.0%","77557","58.0%","131894","56.8%","187531","54.7%","2.1pp"
"Nurturing Pixie","W","U","129524","5.52","18152","7.97","57355","52.7%","54.4%","9625","52.8%","13399","55.4%","23024","54.3%","34330","54.5%","-0.2pp"
"Omenport Vigilante","W","U","113567","4.74","19058","6.53","82761","72.4%","54.5%","14560","55.6%","18706","53.2%","33266","54.3%","49496","54.6%","-0.3pp"
"One Last Job","W","R","36105","3.48","7315","4.41","29444","67.5%","54.5%","4587","51.3%","6904","56.7%","11491","54.6%","17921","54.5%","0.1pp"
"Outlaw Medic","W","C","336522","5.92","48537","8.51","179405","61.6%","54.5%","31986","55.3%","41976","54.9%","73962","55.1%","105321","54.1%","1.0pp"
"Prairie Dog","W","U","71725","3.01","21514","3.57","116267","89.5%","55.5%","21162","58.5%","27199","55.5%","48361","56.8%","67991","54.5%","2.3pp"
"Prosperity Tycoon","W","U","98439","4.00","24601","5.00","126607","84.0%","56.5%","21089","57.0%","30297","58.3%","51386","57.8%","75233","55.7%","2.1pp"
"Requisition Raid","W","U","126226","5.46","15555","8.09","43136","46.0%","53.9%","6697","51.5%","9968","55.2%","16665","53.7%","26459","54.0%","-0.3pp"
"Rustler Rampage","W","U","146497","6.94","15722","10.49","15260","16.2%","52.6%","2282","50.0%","3489","52.7%","5771","51.7%","9489","53.1%","-1.5pp"
"Shepherd of the Clouds","W","U","61962","2.69","25240","3.01","143676","92.8%","56.5%","23211","56.5%","35196","60.9%","58407","59.1%","84941","54.7%","4.4pp"
"Sheriff of Safe Passage","W","U","124386","5.42","14651","8.01","44523","51.2%","52.9%","7583","51.7%","10191","53.0%","17774","52.4%","26762","53.3%","-0.9pp"
"Stagecoach Security","W","C","357862","6.61","47941","9.58","144097","49.8%","55.2%","22488","53.9%","33558","56.3%","56046","55.3%","88095","55.2%","0.1pp"
"Steer Clear","W","C","354512","6.56","45599","9.58","117225","42.7%","54.5%","19162","52.9%","26771","53.9%","45933","53.5%","71196","55.2%","-1.8pp"
"Sterling Keykeeper","W","C","341844","6.05","53317","8.55","223117","69.0%","55.6%","39202","55.2%","50610","55.5%","89812","55.4%","133220","55.7%","-0.3pp"
"Sterling Supplier","W","C","352645","6.48","51759","9.21","176839","56.4%","55.7%","27426","54.6%","41959","57.3%","69385","56.2%","107489","55.4%","0.8pp"
"Take Up the Shield","W","C","319300","5.48","57831","7.46","262320","74.4%","56.2%","42044","55.7%","61125","58.4%","103169","57.3%","158943","55.5%","1.9pp"
"Thunder Lasso","W","U","132166","5.92","16921","8.62","45532","45.0%","54.0%","7211","52.1%","10398","54.1%","17609","53.3%","27834","54.3%","-1.0pp"
"Trained Arynx","W","C","263522","4.46","62231","5.61","336000","87.8%","56.6%","60535","59.6%","74395","55.1%","134930","57.1%","196988","56.2%","0.9pp"
"Vengeful Townsfolk","W","C","348332","6.32","43593","9.32","139491","53.2%","54.7%","24102","54.4%","31895","54.0%","55997","54.2%","83569","55.1%","-0.9pp"
"Wanted Griffin","W","C","356425","6.56","44273","9.66","119312","44.8%","54.7%","19303","53.3%","28184","55.6%","47487","54.7%","71930","54.7%","0.0pp"
"Archmage's Newt","U","R","40883","3.87","7097","5.20","27239","66.9%","50.9%","4730","52.4%","7236","51.6%","11966","51.9%","15148","50.1%","1.9pp"
"Canyon Crab","U","U","117914","5.02","22442","6.63","97240","74.3%","52.3%","17330","53.5%","26353","54.4%","43683","54.1%","53245","50.8%","3.3pp"
